sqft_above,sqft_lot15,sqft_living15
1170,2152,1150
1800,9658,2100
1930,4533,1640
1330,15000,1540
1920,7364,1860
1470,7680,1470
1680,7800,1590
1680,7800,1590
2360,91476,2660
1790,39586,3270
1370,8801,2820
2030,4539,2030
1790,7838,2150
2260,8040,2390
1450,4013,1640
1150,1662,1690
1320,5700,1010
2690,36555,2840
1710,14900,1860
2280,178160,2380
2540,7533,2590
3030,34983,3360
2940,4000,2410
1190,4635,1360
1800,3081,1800
1180,6397,1620
1730,4408,1730
1910,8700,2040
940,5100,1900
1260,6949,1930
970,8160,1340
3080,5509,2980
1060,9126,1300
2160,10535,2840
4060,9486,2410
1100,5100,1580
2250,9964,2110
850,5469,2460
920,5476,1640
1370,8085,1720
920,5200,920
1360,9625,1890
1630,11662,1700
3210,8577,2210
3010,5762,3010
1420,7680,2540
1870,11470,1970
2040,7820,1960
1320,8000,2040
2120,4553,2000
2170,5000,2170
900,12043,1610
800,7114,1580
2210,14674,3990
1850,4100,2590
1670,6600,2730
2120,2650,1690
1410,93393,1660
1310,9618,2280
2670,13130,1960
1010,108900,2050
1530,8500,1520
2780,5000,2020
1010,8108,1110
1630,15500,3150
1820,3899,1820
1470,8025,1700
1100,89298,2590
1570,7508,1550
1450,1429,1450
2280,8632,2180
2100,5942,2280
1460,9000,1930
940,6090,1840
1300,7703,1710
2780,25542,1650
1550,20076,2790
1390,12141,1850
4060,9768,1830
1470,7000,1640
920,7245,1540
3220,5934,3100
3270,8784,3120
1730,9570,2910
1010,6561,1150
1540,7250,1960
1280,4491,1070
840,6600,1010
1680,10400,2250
1550,8419,1750
3030,40669,2780
2880,1815,1470
2010,7530,2400
3090,65775,3200
2720,37721,2580
1310,8100,1330
1360,7494,1790
2830,6954,2710
3150,6595,3150
2910,5115,2040
1420,8346,2250
1640,4400,1940
1330,6180,1940
720,6826,1300
670,20270,1880
2540,15909,3600
3160,14213,3350
1770,14810,2310
2240,18265,1990
990,8790,1420
1580,4698,2070
1560,6000,1250
1760,3680,1960
1440,6350,1590
1200,8408,1100
2870,18647,4050
1260,5926,1150
4890,13539,5790
1580,5940,1180
1330,43560,2100
2060,9000,2030
1690,7200,2140
1920,43705,2440
2330,3740,2330
1080,8050,1810
1890,11144,2720
3820,54014,3140
2770,74923,1830
3020,14351,3120
1170,8183,1610
1270,8400,1390
1950,5441,2040
1330,40770,2230
2220,12360,2010
1170,8736,1890
1100,5175,1200
900,7991,1300
1320,10890,2450
1300,9900,2290
1050,9071,1440
1260,7861,1990
880,11588,2150
1360,5900,1050
2030,13685,2730
2260,6910,2180
1060,6000,940
3720,88256,2830
1610,8670,2010
2670,5962,2730
790,7794,1560
990,4000,2070
1420,7700,1720
1570,46769,2700
1250,4791,1640
1700,10443,2100
2660,10697,2920
1350,7470,1380
1110,8750,1810
1730,7542,1750
1420,42000,1780
1540,11250,2850
2700,6710,2900
880,4180,1330
1930,6120,1130
1680,5765,1560
910,7847,1610
2240,6448,2240
1980,7700,1730
1830,5120,2120
980,6054,1150
3550,6234,3140
920,5665,1530
2040,10240,2120
2329,10252,2660
1790,9995,2060
1840,6360,3420
1160,10565,1160
1000,9375,1190
1820,51836,1650
1440,21075,1950
2890,8117,2120
1200,3497,1270
2200,7439,1970
1300,7100,1740
2530,43453,3140
1160,7875,1600
2100,4200,1830
1490,8514,1640
3280,73616,3210
1450,8496,1860
1420,8352,1600
1040,10380,1240
1260,12800,1320
1170,10894,1590
2020,12036,2870
1420,2509,1420
1630,15263,2049
900,8385,1770
2000,5218,1950
960,4800,1510
770,5080,1090
890,1086,1160
1700,6000,2080
1580,7800,2080
2080,3710,2110
1030,8100,1380
1020,7875,2000
1120,7950,1910
2650,6381,2630
2690,9240,2640
2210,8069,2460
2390,6346,2560
1480,8400,2140
2160,5257,2160
1430,8402,1970
2000,5000,2200
1280,7198,1260
1640,11240,2400
1680,7000,1910
2150,7172,2150
2820,5000,2910
1210,8545,1930
1000,4000,1310
2430,26950,2580
1590,7754,2250
1670,3889,2330
1380,15426,1380
4160,36446,5330
1790,6758,1790
1460,7803,1750
1390,7340,1630
1200,15162,2600
1264,2067,1264
1095,5120,1310
750,5500,1880
1170,6600,1850
690,5381,1330
1400,7440,1820
1810,3000,1670
950,4000,1310
1400,10425,1440
1180,10400,1680
1150,9576,1220
1710,8025,1480
1130,7637,1680
1950,8800,2340
1780,9750,1160
2450,4895,2460
1560,11880,2060
1540,11473,1550
1650,15144,1650
1160,8317,1300
1440,15000,1780
1610,15480,2150
1060,7200,1100
2620,14400,3400
960,9000,1880
1500,8079,1430
820,7200,1810
820,7200,1810
2010,5779,2010
1990,6459,2150
2990,6512,2590
2540,5129,3640
1140,10500,2020
1490,9915,2830
4020,13515,3930
1390,8775,1310
1088,6000,1536
2130,4838,1070
1130,8580,1390
1690,9516,1850
960,4046,1400
3270,6546,3270
2200,223027,2180
1020,9000,1610
950,8540,2270
1010,7663,1590
1420,3474,2330
1200,10284,1380
1010,9233,1890
3390,6900,2580
1460,3230,1620
2760,7100,3540
1630,11200,2120
1560,5350,2290
870,4080,1320
760,7810,1360
1210,8085,1780
1550,6387,1440
4090,8762,3510
880,7015,1240
880,8351,1490
950,4000,1480
1390,7904,1910
1220,12630,1850
1392,99316,1640
3340,7865,3160
1720,16344,2860
1400,14375,1250
1280,14098,2020
1210,7740,1100
1290,9650,2270
1870,7650,1870
810,5026,940
860,4838,1120
1250,1188,1250
1060,9375,1270
1600,11514,2410
2844,3900,2273
1330,51400,2290
2830,5400,1890
1580,4405,2170
920,5400,1600
2260,22718,2750
1000,3801,1690
2650,11585,2650
1000,3479,1090
1150,8400,1230
1080,7214,1410
902,7210,1510
730,7528,1620
2600,37318,2750
1570,7300,1570
1970,14454,3500
1780,8864,2360
1470,6511,1470
1970,7680,1960
1450,22180,2900
2020,8239,1940
2100,6000,2100
1510,8250,1770
1790,18782,2850
3400,9593,3520
1678,9668,3056
2740,5948,2740
2020,8550,2250
1520,1323,1520
2300,19353,2520
1080,12375,1620
2090,7109,2080
3120,5775,3550
2910,10125,2780
900,8240,1220
1720,9324,1620
2600,8425,2230
2380,10189,1940
1450,9000,1980
1680,5000,1720
1210,9737,1690
1120,7950,1470
3020,10029,3020
920,8000,1660
700,8304,1250
2540,7531,2140
2100,4560,1930
1540,7250,1540
1420,7227,1550
1450,8023,1340
830,4116,1100
1920,10125,1950
1920,10125,1950
2510,4675,2550
1660,5580,1670
3990,8200,3920
1810,6000,2170
1350,7827,1900
1710,9838,2240
4560,8137,4010
1590,10222,1320
1400,8645,1120
1880,21689,2520
3500,10658,3500
1370,5444,1380
2810,9240,2640
2220,7226,1980
2110,4030,2110
1440,35048,1990
1330,7653,1780
1410,8100,1560
1110,4000,1730
2700,9165,2840
2610,9156,2970
830,9318,1610
4570,16500,4700
2640,50543,2820
1610,3056,1610
1390,7555,1740
2380,211404,2110
840,9324,840
840,9324,840
1470,6175,1230
1970,5080,1060
1280,7230,2210
960,4080,1660
2700,8056,2120
950,12586,1690
1790,7503,1800
1610,3090,1540
2290,6180,1600
2170,154202,1760
2100,4764,1820
2320,52272,2200
1120,7784,1340
1530,6000,1360
1770,7425,3640
1180,8748,1710
1470,4500,1560
2360,11340,3030
2570,7284,2150
1270,3200,1980
1250,7563,1260
1610,8510,1940
2120,4000,2830
2900,10376,2720
2370,12297,3080
1280,3825,1420
3520,5989,3260
1370,6250,1450
960,1357,1130
2440,38119,2860
3420,12127,4090
910,6624,1310
910,6624,1310
2150,6879,2150
2150,6879,2150
2610,8725,2240
2130,5400,3220
2740,9905,2630
3150,9318,3150
1180,1540,1450
1900,4000,1520
1140,8000,1660
2310,36042,2710
2460,7987,2420
3640,16316,3750
1620,4500,1620
2170,9525,1910
1710,10200,1880
3280,25211,3280
2900,12398,1260
1540,5420,930
1420,4750,1930
1340,4800,1240
1390,9360,1390
1600,9352,1540
2050,8744,2010
2570,38322,2010
2660,8637,2590
1540,13475,1550
2140,2242,1540
1210,1090,1210
3760,19916,3930
1350,4839,1440
1810,9660,2070
3460,217800,2460
1340,7752,1680
1760,10059,3430
1010,5510,1760
2230,107157,2980
1730,1774,1730
1650,10400,1750
3370,31793,2980
2200,35840,2560
1420,3375,1560
1210,9944,2090
1050,1482,1610
1180,8154,1450
2080,12560,2550
1610,5500,2030
1880,6405,1580
2510,5614,2660
1060,5200,910
2130,12216,1910
1320,7800,1370
1040,5650,1290
1150,5400,1230
1420,3840,1420
1330,5000,2010
2340,9963,2140
2250,23798,1550
1290,3825,1320
760,10141,1340
2780,5000,2630
2390,6500,2520
1500,9000,2040
1880,8640,1570
1080,2081,1560
1130,6120,1060
1120,16940,3040
1770,9730,2230
2600,8800,2200
740,1062,1260
1930,6270,2670
2811,7250,3040
4060,13800,3220
1130,6000,2260
4430,80875,3820
1430,10427,2550
1750,19604,2900
1180,5100,980
1220,7831,1820
1230,8670,1470
1750,4158,1520
860,7596,1550
1150,11475,1640
1110,77536,2130
2050,10172,2410
1700,5177,1480
1100,8000,1610
1790,3880,1360
1170,10843,2630
2730,5569,2520
2490,10386,2500
1510,4268,1510
4720,20000,3010
3810,217364,2580
1950,4000,2080
1300,6000,1230
1180,7973,1520
1180,5000,1540
700,5200,960
720,4600,1560
910,6957,1090
1060,9121,1620
2180,7644,1840
1400,11952,1740
750,4000,1540
800,1472,1480
2360,8000,3010
1390,45302,1440
900,3404,900
1050,12726,1230
1600,11902,3090
1180,5979,2660
1140,4000,1510
700,4512,1570
1320,9643,2050
1630,10384,2190
1350,7751,2125
1340,5000,1640
1330,9131,1800
1880,3600,1680
2310,5769,2500
880,6050,1130
5450,17825,3160
660,1749,1860
1010,9000,1290
890,7680,1060
1350,5390,1665
680,3600,1470
2860,10572,2890
610,5000,970
1880,9620,1910
960,5040,1450
2290,3202,1360
2110,4044,2110
600,4520,1730
1520,3900,1810
2350,8165,2000
1060,9760,1860
1810,4758,1810
1900,11407,1710
1250,6973,1040
3280,7333,3280
870,4800,2090
3570,14577,4100
3780,11813,3720
1190,3600,1680
2280,38472,1900
1030,10342,1330
1840,5000,2200
1520,8800,1370
3700,9132,2130
1620,23873,3200
1520,8452,2170
2110,3600,2160
1840,15040,1840
2080,9600,2220
1600,11400,1800
2168,4000,1770
860,8636,1100
1100,3771,1890
1140,9639,1140
3090,35150,3120
1330,24000,1490
1360,69260,1460
2540,16316,3750
2060,4500,1370
1600,5000,1640
1120,5100,1120
2980,7280,2430
1810,26950,2580
1550,1224,1180
3330,14850,3360
2200,7348,2460
3840,42643,2430
840,5000,1300
1270,7986,1270
3240,23650,3010
2480,42122,2350
3240,21837,2930
1060,7800,1450
1850,8711,2080
2200,16921,2060
2760,9600,2760
1090,5413,1090
3090,10108,2890
820,9000,1750
1300,1286,1410
1810,9240,1660
920,5000,1610
1060,4590,1760
1050,10794,1300
1010,9800,1260
2050,8448,1970
970,12541,1500
1540,2058,1560
3000,7222,3340
3190,6739,2630
1100,9150,1590
2200,9176,2310
3070,5936,3160
2820,15550,3880
2440,7758,1990
990,3420,1920
4160,36192,4300
2870,6335,1520
910,10019,1580
1940,4000,1410
1780,6000,2650
2200,7868,2290
5610,6630,2270
1220,9694,2130
1020,7527,1740
2320,6270,2150
870,7642,2020
1700,7540,1570
1700,7540,1570
1180,4000,1940
800,7000,1220
1350,7620,1770
1460,6059,2250
1290,7509,1350
1200,9737,1670
1480,4000,1850
1220,11200,1740
1330,9800,2170
1250,9605,1570
990,7590,1100
2740,8815,2740
1110,9120,1540
2150,7240,1910
1230,3600,1480
1920,5308,2880
2590,13894,2720
1830,4100,1610
1470,2576,1180
1270,11069,2020
610,5160,870
1500,8300,2400
920,11875,1530
1070,7740,950
3410,25936,2350
1820,3863,1820
1060,7560,1980
3070,19515,2150
1840,123710,2120
1260,6911,1630
2830,6581,3150
970,9994,2040
1680,8284,1550
1260,9180,2470
1450,8592,1500
1980,4760,2370
1120,13970,1860
2490,21107,1960
2640,4500,1000
3190,7131,3240
780,6000,1470
1960,5300,2400
920,2853,1310
1140,5500,1110
2520,56628,2020
1620,11807,3150
2040,10954,1860
1780,13500,2210
2240,9900,1900
2320,17357,2340
3110,7953,3550
1660,3600,1970
1190,8708,1530
750,5000,1020
2240,11480,2600
1870,3485,1940
2683,34800,2683
1490,7200,1280
2340,12403,2200
850,9000,1620
1450,1240,1490
3310,13835,3310
1520,5250,1530
1260,4388,1410
1840,8060,1840
1070,5400,2090
1450,10125,1530
4900,9196,2200
1020,10200,1560
2100,5750,1630
2430,5414,2100
3350,14537,3790
1370,9271,1830
1310,4000,1550
2370,9110,3630
2560,36601,2790
1930,13350,2270
1260,6380,1580
2560,12568,3460
2670,5680,3090
820,6912,1470
760,8934,1480
1420,8075,1530
2790,6720,2620
970,5000,1610
950,9400,1260
1780,5450,1360
1280,9384,1540
870,12465,1070
1360,1795,1580
1000,16192,1420
1980,11156,2170
810,8491,1440
2590,8155,2360
1560,2071,1810
2500,7395,1980
3280,5080,2600
670,2970,700
2150,17809,3010
1500,11616,2690
1920,6600,2200
1960,7529,1980
1140,8194,1060
2610,6224,1430
2740,5281,3010
2530,5000,2510
2310,4023,1950
2095,4385,2095
1560,4989,1855
1390,8400,1910
840,1322,840
2730,5832,2360
860,4800,1380
1510,10960,2160
1540,8529,3790
890,16250,1330
4290,63162,3370
1950,12943,2650
1010,10650,1380
2830,6872,2830
1000,9020,1700
3370,213444,3350
3160,8648,2500
1110,7000,1800
3830,8299,2950
2650,12523,2720
2100,4500,1650
2240,9900,2150
560,80201,750
2350,36116,2580
1940,7145,2400
1160,48352,1580
1840,12474,2100
1620,10000,1960
840,3860,1390
2460,5000,2900
1600,10416,1410
1370,7525,1370
1490,8038,1580
1470,7200,1530
1370,8783,2020
1090,1326,1410
1680,9600,2380
1820,8773,1520
980,10016,1480
1760,7082,1760
720,5000,1170
2500,7920,1940
1370,8100,1280
1550,8621,1890
1230,3920,1780
920,3774,1480
1500,19439,1620
1460,1826,1460
2620,172933,2620
1330,5109,1630
2420,2780,1260
1190,7000,1350
1290,4960,1570
2090,8155,1660
1690,2962,1970
3160,12415,3160
1360,7668,2090
1570,3591,1740
1020,6000,1240
1300,9259,1600
2110,11787,2560
1210,14419,2140
1850,12850,2090
1630,8397,1610
1384,1315,1078
3380,17913,3710
2480,9033,2990
1270,8000,1470
1010,7200,1360
990,7722,1490
820,3844,1520
1810,11982,1420
1530,7800,1850
2130,20000,2730
3440,20239,3990
1220,8214,1350
1480,5762,1660
2620,4554,2640
2020,8855,1920
1780,9360,2080
1240,7360,1770
1600,4590,1670
1650,12480,1820
2680,35218,2980
880,10530,1450
1740,4400,1590
1170,10104,1590
1960,189100,2560
1380,3612,1930
1310,4042,1700
1410,3600,1370
1440,9000,1440
920,8933,1460
1090,12000,1300
1470,7624,1760
1840,16067,2300
1340,7200,1780
2570,6733,2760
3010,5001,2520
1080,3740,1650
1290,9630,1960
1050,7527,1710
1240,12200,1850
1070,5750,1860
2500,8475,2560
930,7194,1910
3030,8678,2850
940,3000,1460
2940,10982,2670
3360,9713,3360
1210,4800,1660
1980,10027,2790
880,3600,1160
1180,4900,1400
2260,13650,2650
3690,7200,4150
2380,34794,2250
3320,4040,2330
1050,9600,1550
2070,4067,2340
1790,7203,1400
840,4000,1100
990,4000,1490
3180,64033,2770
1620,10200,1660
1340,9721,1410
1500,5750,1330
1300,6731,1240
3100,9028,3140
2200,6548,2060
1450,9030,1870
1100,3750,1700
1240,9100,2010
890,5200,950
1580,5800,2580
1340,8400,1500
1380,7473,1440
1210,8000,1430
1280,7514,1290
3670,142005,2430
1180,1601,1560
1140,7826,1540
1210,2500,1640
1130,4445,1330
1130,8540,2280
1280,9790,1710
1670,7859,2290
1360,9611,1180
1290,7990,2160
1255,1038,1010
1240,7350,1980
2960,5012,2570
1430,7232,1540
4050,14810,3330
3480,39400,2930
4260,7528,4020
1080,7500,1820
1290,2482,1290
2130,11810,1500
1170,9800,1440
1350,3300,1830
880,5750,1190
2380,6832,2580
1330,10353,2920
1780,87120,2440
1220,9119,2110
1540,15600,2790
1180,10800,1600
2310,6200,2480
1440,4080,1300
1080,1642,1660
2620,7842,2190
3710,7491,3040
1040,7200,1580
2480,8339,2330
800,5320,1190
1240,8553,1800
980,10140,1960
2670,4410,2670
2930,11175,2120
830,4000,950
1980,4320,2870
2510,1885,1740
1280,7667,1170
1350,6000,2020
2080,11847,2030
1680,9387,1840
1660,4652,1680
1650,6666,1930
1280,1439,1490
1740,7875,1890
910,4488,1260
1260,6600,1520
2060,5264,1930
2190,7408,2200
2010,8363,1660
2020,5134,1930
1910,12326,2580
1000,10000,1340
1550,3560,1860
2290,2460,2180
1490,12746,2100
1040,5700,1380
2040,8480,2040
1000,6136,1720
3430,35021,3440
2570,4933,2570
2320,87120,2410
1210,7420,1940
3020,8406,3020
1540,4200,1590
1210,9533,1760
1110,11839,1690
1090,9219,1660
1470,16988,2090
1240,7000,1910
1850,9660,1780
2140,9360,3390
1920,5242,2330
2020,7200,1440
1300,7200,2280
1180,8657,1760
1320,7644,2050
1320,11000,1820
1680,5000,1950
2000,51836,2000
1180,7121,1650
3330,20031,4340
1880,5400,1590
2210,6299,2990
1510,17800,1480
3110,7311,2820
2150,6380,2030
1200,3960,1310
2720,10020,2720
1560,8120,1920
1990,11627,2220
950,3960,1800
1350,8596,1550
1510,9176,1480
1410,5650,1410
1560,8000,2344
1970,20160,1850
1470,8204,1400
940,5040,940
1780,13095,2750
2230,6300,2490
2400,14375,3140
1920,15235,2370
1020,8400,1770
1880,7972,1900
2960,4623,2750
1300,15084,2920
1090,6183,1750
1120,6232,1970
3610,10347,2960
1530,12593,2100
1030,12200,1480
2000,1340,1560
1010,9230,1730
3620,16000,2590
2040,9868,2390
1680,7373,2260
1600,1700,1600
1480,7995,1820
700,4800,1440
700,4800,1440
3520,11318,3470
1650,6402,1750
1360,5790,1530
680,6700,1350
1970,8852,1980
1310,2288,1470
1610,9800,1220
810,7200,1080
2820,7904,2630
1900,19200,1430
1540,7700,1990
1010,8066,1650
2110,8625,2350
3060,7438,3140
2620,5080,1670
1088,1469,1098
1400,10849,1620
1020,6930,1380
1300,2875,1540
1790,4320,1930
1730,11211,1550
1470,12043,2140
900,5320,1175
860,8000,1170
2070,4225,1560
2070,4225,1560
2740,7416,1900
1790,5320,1680
1330,16050,1750
3610,11783,3530
1430,10080,2450
1570,7500,1610
2280,6000,2360
940,5000,1500
2920,6001,3100
2260,11900,2470
1280,4000,1680
1440,6200,1680
2310,13906,2810
1340,3000,1540
1490,7875,1820
1830,25641,1500
4440,10080,2720
3930,13335,3580
840,1083,1000
3450,9272,2430
1220,3900,1280
1210,9600,2070
870,8701,1100
840,5200,870
1250,7700,1188
1980,18777,3330
750,8777,1100
710,5050,900
1620,12474,2320
3750,24293,3540
980,7280,1390
1590,10687,1750
720,6000,1180
1150,9623,1820
880,8128,1530
770,4080,1510
1380,6800,1780
1660,54450,2070
1880,5114,2130
3500,38636,3250
1840,7374,1840
1060,7093,1080
1390,7192,1940
810,4838,890
1820,6720,2000
2000,13420,3230
2240,9240,2050
3400,5672,3400
1940,10080,3300
2780,4200,2510
1670,9575,2070
1370,7500,1400
1230,6570,1380
1610,7162,1610
3410,21429,2150
2810,4922,2920
1850,10650,2660
1790,3600,1780
1150,8146,1600
2420,4804,1070
1180,7358,1470
1560,12676,2150
1560,12676,2150
2750,35862,2780
920,4875,1160
960,10194,1740
870,4000,1470
1560,3960,1280
980,7859,1910
1940,7092,2060
1370,10922,2140
1100,4000,1240
1170,9272,1610
1340,7178,1210
1400,5000,1540
2060,8000,1530
1770,8931,2180
1610,5210,1610
1490,7689,1490
1540,8284,1480
3440,44431,3150
1130,4000,1320
1400,9000,2050
1880,4800,2690
1000,4144,1690
1260,11612,3010
1150,10348,2100
1530,7201,2240
970,5900,1180
1550,5225,1220
1660,7673,1840
3680,144183,2410
2290,5000,1940
1480,8723,1510
2680,9860,3420
1700,1350,1560
1240,8352,2020
1550,35174,2300
2650,11170,3850
1460,9906,1590
1350,1563,1640
2290,3626,2340
3370,13129,3700
1090,5000,1760
2130,28598,3030
1360,9688,2060
1220,8671,1870
730,4382,1220
1640,7127,1970
1890,7975,1470
1710,10440,1480
1520,8039,1550
2930,218235,2450
1930,13623,2380
2910,18000,1980
1200,8100,1700
810,6695,1140
2000,5390,2330
1520,50529,1820
1040,84300,2080
1010,4900,1080
720,3300,1460
3560,13624,3840
1210,11100,1280
2130,8400,2100
1180,7434,1570
2880,5281,3050
2690,15046,3560
6220,7593,2680
1150,9976,1520
1150,8649,1540
1300,4017,1400
1170,4000,1140
2510,36450,3140
1820,3825,1940
3910,15810,3510
1230,8600,1810
2060,16110,2060
1800,7933,2480
2330,5310,2620
2110,7499,2390
1175,10800,2010
1590,9253,1590
1070,8775,1500
2240,9672,2960
2980,6349,2870
1160,5200,1470
3580,27068,2510
1980,6000,1150
1410,8560,2150
1300,13545,1160
1660,7000,1660
830,5000,1110
1860,12392,2470
1150,7740,1140
1670,3752,2330
1300,9132,2000
2320,59603,3100
1460,8199,2040
2110,125017,2390
1150,7992,1820
1150,7992,1820
1920,10809,3300
1370,10000,1520
1280,1224,1180
2570,16100,2550
1310,8021,1860
2980,5150,1100
2300,10843,1780
1990,4815,2250
2390,17113,1960
1430,7500,1560
3300,11358,2740
1040,3750,1820
2030,10282,1960
1400,2036,1500
2320,15680,2700
1410,9940,1800
930,11250,1980
1820,6995,1680
1910,10127,1630
1540,7350,1270
1430,8400,1870
1010,10414,1150
940,8384,1290
1600,5492,2260
1220,8134,1500
1920,5100,1380
2900,20000,3390
1020,7168,1000
2150,9520,2000
1660,2890,1540
1230,7648,1020
2170,7083,2170
1280,6783,1450
1380,7000,1540
1320,5100,1880
1220,8075,1770
1740,8120,1740
3040,6825,1650
2370,4606,2380
2100,6192,2100
1090,1668,1470
820,6120,1250
2430,6300,980
970,4750,1460
1740,13068,1510
1340,3880,1530
1460,8148,1850
1150,8549,1610
3640,8321,4042
1980,35700,2460
1240,6400,1600
890,1008,1160
1530,3300,2200
1030,5850,1170
1120,5000,1120
1710,4000,1910
1650,8475,1810
1420,8750,2310
3310,217800,2810
1320,7220,1830
2250,9834,2020
2890,7197,2890
1060,11000,1840
2130,4071,2130
780,9020,1780
1060,7420,1540
1280,9870,1440
3170,35110,3190
2260,37318,2650
2030,11499,2740
1060,5750,1060
1180,12884,1440
2990,6538,2890
3530,20707,3850
1500,10960,2160
1650,3762,1760
1510,12350,2510
998,3854,2100
2356,10925,3060
1630,7737,1920
960,5837,1090
1460,8153,1460
2640,4000,1620
2090,4200,2090
1470,8050,2050
2090,6370,2090
2070,7849,2440
980,6400,1230
1410,38556,2340
2060,7720,1630
1410,9272,2090
2100,7242,2030
1390,8245,1260
2720,40392,1970
1280,4366,1070
1720,41817,2000
1720,41817,2000
1890,8250,1360
3110,7945,3310
2670,5729,2140
1350,7600,1920
2460,13489,3080
800,1280,1710
1460,5074,1360
1340,10852,2210
1540,9450,1560
1570,10500,2550
1830,9750,1740
2330,8396,2330
2240,20000,2330
1700,2891,1760
1410,7875,1720
1100,9900,1100
2320,25265,2220
2540,8447,1990
1750,25919,1760
770,5330,1150
2370,5012,2290
1200,7650,1200
1100,5100,1410
2660,35191,2720
1050,8100,1590
1330,1328,1430
1720,10751,2100
2510,5819,2518
1090,10000,1880
1180,11104,1680
680,13140,1320
2840,4750,2460
1820,8304,2040
870,3860,1520
1250,5650,1210
1240,14659,2730
1900,5413,1550
2270,11990,2540
4500,11576,3930
2320,5000,1910
2830,8691,2970
960,9600,1280
1530,5000,1530
1300,13300,2440
1560,8755,1480
1720,7980,2350
1910,16400,2120
3150,5169,3150
1480,10240,2120
1250,8200,1480
1490,8142,1840
1990,3688,1690
2100,4140,1890
940,8400,950
1200,7200,1480
1860,8378,1870
2100,4000,1660
1500,16988,1500
1180,26308,2190
3900,411962,2720
1400,7410,1070
1350,12954,2260
1440,4558,1360
1090,10000,2010
2360,10500,1870
2440,6496,2570
1122,9344,840
1060,10464,1420
1430,7980,2360
3100,9438,1850
880,5060,880
2150,39639,2490
1080,6647,1080
1290,8560,2040
1200,7070,1230
2850,8468,2700
2950,4502,2360
860,6828,1250
3420,5700,3490
1550,10578,1570
1180,9013,1450
1820,7930,1490
3500,15306,3210
1580,8285,1910
1960,4080,1880
1440,8260,1720
2730,4644,2670
910,9000,1290
910,9000,1290
2020,4375,2340
3350,6970,2960
1140,4322,1820
1260,1188,1340
1590,3760,1760
1580,8260,1580
2710,35040,2330
1400,8050,1640
2410,7713,1920
1100,4040,1260
1060,10354,2230
1170,8964,1960
970,8625,1650
1610,2187,1120
1160,21891,2590
3570,37194,3510
1400,7754,1530
3470,35181,3800
1210,7620,1680
3930,9999,1780
990,5000,1180
2200,5924,2200
1510,13950,1650
1120,6178,1790
1580,8051,1730
1260,21715,2400
2190,13804,2770
1230,15750,1690
1400,7565,1800
780,6769,1210
1110,1363,1110
2790,47916,2740
1000,8319,1880
2190,5000,2550
2390,11200,2450
1850,6500,2370
1250,5200,1800
1000,8450,1090
2200,6090,2360
720,5160,960
1660,6680,1840
2510,7500,2560
3090,10882,3100
860,5494,1120
1220,6720,2740
1010,7373,1320
2390,7350,2390
3340,8000,2230
2790,4650,2850
2910,5800,3060
3831,36563,3850
1080,9529,1680
1340,10500,2180
1050,7458,1560
1230,4275,1560
1870,5120,1580
1470,1245,1460
3510,12745,3230
520,4241,980
1950,4668,2200
770,9715,1140
2250,7840,1520
3340,10800,3450
1280,3460,1700
2330,5020,2930
1720,8640,1870
950,10204,1370
1040,6080,1430
1220,9551,2080
1220,9551,2080
1280,1883,1940
2020,12350,2410
3320,7665,3320
4130,26147,3140
1110,7990,1930
1170,8000,1670
3330,6465,3100
1520,9916,1750
1950,7663,1950
2930,20492,3160
1410,5000,2040
2980,12534,2630
780,6695,880
1650,4559,1650
2800,13447,2670
1010,10125,1230
1190,10140,1360
1050,20115,3360
1560,4251,1670
1010,7800,1570
770,8149,820
620,2676,1540
1000,9200,1640
1060,7780,1460
2330,2948,1830
1400,8089,1890
1450,3840,1620
1020,4800,1640
1700,6025,1650
820,14000,1410
1315,2128,1640
860,10839,1390
1890,12210,2000
1460,7226,1760
1480,10758,1190
1050,5040,1840
940,8051,1880
1610,5000,2170
2220,4717,2090
1410,10485,1570
2330,11100,2500
1120,6050,2000
2400,9258,2430
1560,8034,1990
1040,9720,1330
2590,5130,1500
1850,4751,2160
1090,4800,2690
2190,3591,2200
1380,4076,1540
3710,8678,3250
1380,54014,2830
1110,10296,1330
1830,4998,2488
1650,32040,2550
1270,7200,2260
1700,40973,2760
1130,9906,1930
1640,12154,1670
1040,8504,1310
2320,5721,2090
1200,8415,1390
1720,4500,2140
1330,11740,2630
4410,6600,2160
1650,8560,1700
1370,9600,1390
1420,7974,1894
1410,1448,1430
1710,4084,1760
790,8250,900
2120,5450,2300
1260,8100,1480
1300,9524,2120
870,3300,1890
2430,9346,2620
2320,88862,2340
2870,16238,2870
1830,5175,1830
1190,9765,1930
1110,10187,1540
1170,11344,1960
2740,6663,3150
3210,6753,2950
1110,1499,1330
870,5700,1280
1646,8734,1654
720,4000,1630
2310,7201,1960
2670,8895,2620
2460,9598,2990
1380,9855,1650
700,8100,1230
1710,9040,2430
1450,9554,1710
1320,8800,2050
1670,4010,2540
2760,5626,2670
940,11200,1250
1760,8276,1760
1360,7680,2530
2010,7380,1770
1620,2400,2570
930,6364,1640
720,1478,1060
1360,5264,1160
1220,7200,1790
1190,10624,1740
1150,6800,1210
2710,27903,1590
1390,9943,2010
1350,5760,1750
1350,5760,1750
2290,8796,2130
2870,24347,2950
3550,24967,3590
1170,5102,1720
1570,8911,1660
1300,8250,1820
1730,2751,1730
3020,36444,3020
